PARTICIPANT_A	INTERACTION_TYPE	PARTICIPANT_B	INTERACTION_DATA_SOURCE	INTERACTION_PUBMED_ID	PATHWAY_NAMES	MEDIATOR_IDS
ACVR1	controls-phosphorylation-of	SMAD1	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR1	controls-state-change-of	SMAD1	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR1	controls-phosphorylation-of	SMAD2	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR1	controls-state-change-of	SMAD2	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR1	controls-phosphorylation-of	SMAD3	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR1	controls-state-change-of	SMAD3	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR1	controls-phosphorylation-of	SMAD5	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR1	controls-state-change-of	SMAD5	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR1	controls-phosphorylation-of	SMAD9	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR1	controls-state-change-of	SMAD9	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR1	in-complex-with	TGFB2	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1	in-complex-with	TGFB3	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1	in-complex-with	TGFBR2	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1	in-complex-with	TLL1	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR1	in-complex-with	TLL2	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	ACVRL1	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	BMP10	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	BMP15	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	BMP1	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	BMP2	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	BMP3	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	BMP4	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	BMP5	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	BMP6	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	BMP7	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	BMP8A	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	BMP8B	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	BMPR1A	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	BMPR1B	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	GDF10	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	GDF11	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	GDF15	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	GDF1	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	GDF2	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	GDF3	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	GDF5	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	GDF6	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	GDF7	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	GDF9	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	GDNF	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	INHBA	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	INHBB	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	INHBC	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	INHBE	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	LEFTY1	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	LEFTY2	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	controls-phosphorylation-of	MAP3K7CL	PANTHER		TGF-beta signaling pathway	panther:STATE_TRANSITION_LEFT__TAK-RIGHT__TAK-_r22;panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r22m1_r22
ACVR2A	controls-state-change-of	MAP3K7CL	PANTHER		TGF-beta signaling pathway	panther:STATE_TRANSITION_LEFT__TAK-RIGHT__TAK-_r22;panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r22m1_r22
ACVR2A	controls-phosphorylation-of	MAP3K7	PANTHER		TGF-beta signaling pathway	panther:STATE_TRANSITION_LEFT__TAK-RIGHT__TAK-_r22;panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r22m1_r22
ACVR2A	controls-state-change-of	MAP3K7	PANTHER		TGF-beta signaling pathway	panther:STATE_TRANSITION_LEFT__TAK-RIGHT__TAK-_r22;panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r22m1_r22
ACVR2A	in-complex-with	MSTN	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	NODAL	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	controls-phosphorylation-of	SMAD1	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR2A	controls-state-change-of	SMAD1	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR2A	controls-phosphorylation-of	SMAD2	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR2A	controls-state-change-of	SMAD2	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR2A	controls-phosphorylation-of	SMAD3	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR2A	controls-state-change-of	SMAD3	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR2A	controls-phosphorylation-of	SMAD5	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR2A	controls-state-change-of	SMAD5	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR2A	controls-phosphorylation-of	SMAD9	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR2A	controls-state-change-of	SMAD9	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR2A	in-complex-with	TGFB2	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	TGFB3	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	TGFBR1	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	TLL1	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2A	in-complex-with	TLL2	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	ACVRL1	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	BMP10	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	BMP15	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	BMP1	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	BMP2	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	BMP3	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	BMP4	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	BMP5	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	BMP6	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	BMP7	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	BMP8A	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	BMP8B	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	BMPR1A	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	BMPR1B	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	GDF10	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	GDF11	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	GDF15	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	GDF1	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	GDF2	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	GDF3	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	GDF5	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	GDF6	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	GDF7	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	GDF9	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	GDNF	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	INHBA	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	INHBB	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	INHBC	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	INHBE	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	LEFTY1	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	LEFTY2	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	controls-phosphorylation-of	MAP3K7CL	PANTHER		TGF-beta signaling pathway	panther:STATE_TRANSITION_LEFT__TAK-RIGHT__TAK-_r22;panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r22m1_r22
ACVR2B	controls-state-change-of	MAP3K7CL	PANTHER		TGF-beta signaling pathway	panther:STATE_TRANSITION_LEFT__TAK-RIGHT__TAK-_r22;panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r22m1_r22
ACVR2B	controls-phosphorylation-of	MAP3K7	PANTHER		TGF-beta signaling pathway	panther:STATE_TRANSITION_LEFT__TAK-RIGHT__TAK-_r22;panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r22m1_r22
ACVR2B	controls-state-change-of	MAP3K7	PANTHER		TGF-beta signaling pathway	panther:STATE_TRANSITION_LEFT__TAK-RIGHT__TAK-_r22;panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r22m1_r22
ACVR2B	in-complex-with	MSTN	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	NODAL	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	controls-phosphorylation-of	SMAD1	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR2B	controls-state-change-of	SMAD1	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR2B	controls-phosphorylation-of	SMAD2	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR2B	controls-state-change-of	SMAD2	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR2B	controls-phosphorylation-of	SMAD3	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR2B	controls-state-change-of	SMAD3	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR2B	controls-phosphorylation-of	SMAD5	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR2B	controls-state-change-of	SMAD5	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR2B	controls-phosphorylation-of	SMAD9	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR2B	controls-state-change-of	SMAD9	PANTHER		TGF-beta signaling pathway	panther:_CATALYSIS___Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__r10m1_r10;panther:STATE_TRANSITION_LEFT__RSmads-RIGHT__RSmads-_r10
ACVR2B	in-complex-with	TGFB2	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	TGFB3	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	TGFBR1	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	TLL1	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVR2B	in-complex-with	TLL2	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVRL1	in-complex-with	AMHR2	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVRL1	in-complex-with	BMP10	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVRL1	in-complex-with	BMP15	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVRL1	in-complex-with	BMP1	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVRL1	in-complex-with	BMP2	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVRL1	in-complex-with	BMP3	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVRL1	in-complex-with	BMP4	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVRL1	in-complex-with	BMP5	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVRL1	in-complex-with	BMP6	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVRL1	in-complex-with	BMP7	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVRL1	in-complex-with	BMP8A	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVRL1	in-complex-with	BMP8B	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVRL1	in-complex-with	BMPR2	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVRL1	in-complex-with	GDF10	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVRL1	in-complex-with	GDF11	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVRL1	in-complex-with	GDF15	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVRL1	in-complex-with	GDF1	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVRL1	in-complex-with	GDF2	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
ACVRL1	in-complex-with	GDF3	PANTHER		TGF-beta signaling pathway	panther:_Complex__TGFbetareceptor_I_TGFbetareceptor_II__TGF_beta__s36_a39_
